CRN,Subj,Crse,Sect,Part of Term,Session,Title,Prof,Day  Beg   End   Bldg Room  (Type),Campus,AddlInfo,Hrs,Max,MaxResv,LeftResv,Enr,Avail,WaitCap,WaitCount,WaitAvail,Room Cap
24339,MED,02725,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,PEDS AMBULATORY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24330,MED,02800,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,STROKE CLINICAL RESEARCH ELEC,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24328,MED,02801,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,PSYCHIATRY SUB-I,STAFF,   ,CMSRU Cooper Med School-Camden,,0,30,0,0,0,30,0,0,0,
24327,MED,02803,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,ADULT OUTPATIENT,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24325,MED,02900,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,CRITCAL CARE SURGERY CLERKSHIP,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24323,MED,02901,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,SURGERY SUB-I,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24322,MED,02905,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,GENERAL SURGERY,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24321,MED,02927,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,NEUROSURGERY PRIMARY CARE,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24318,MED,02990,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,VASCULAR SURGERY - SUB-I,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24317,MED,03002,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,MUSCULOSKELETAL RADLGY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,0,30,0,0,0,30,0,0,0,
24315,MED,03005,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,DIAGNOSTIC RADIOLOGY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24314,MED,03009,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,NEURO INTERVENT RADIOLOGY 2W,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24312,MED,03025,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,NEURORADIOLOGY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24310,MED,03026,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,NUCLR MEDCN MOLECULR IMAG-2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24309,MED,03027,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,PEDIATRIC RADIOLOGY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24307,MED,03028,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,WOMEN'S IMAGING - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24305,MED,03101,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,HEALTHCARE ADMINISTRATION,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24304,MED,03102,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,HEALTHCARE ADMINSTRTION - 2WK,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24302,MED,03201,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,GLOBAL HEALTH,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24301,MED,03301,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,PHYSICAL MEDICINE  REHABLTN,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24299,MED,03503,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,ORTHOPAEDICS - SUB-INTERNSHIP,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24296,MED,03701,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,MEDICAL INFORMATICS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24293,MED,03802,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,DERMATOLOGY - 2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
24291,MED,03901,  1,"CMSRU Spring M4 ... 
06-JAN to 10-MAY",Day,MULTISPECIALTY NEUROLOGY2WKS,STAFF,   ,CMSRU Cooper Med School-Camden,,1,30,0,0,0,30,0,0,0,
